fiber ra dec sky row r "r group" Z t V sigma dV dsigma V_gas dV_gas sigma_gas dsigma_gas Hdelta Hgamma Hbeta [OIII]5007d [OI]6300d reddening
52 0.0 0.0 0 47 0.0 12 -0.5317504784196121 6.1201428606905335 -139.6194206051125 102.11257451384748 1.1598499323733769 91.58868036432798 102.11257451384748 91.58868036432798 890.0593100990081 127.51910975490115 0.004426563611110374 0.2618379547756316 0.1435957013887161 0.0 0.5652849336928046 0.1924382817403047
31 0.0 -5.63 0 27 5.63 4 -0.013263944028291603 8.592704085525279 -226.5260456196141 -61.09097069042685 4.393524976534523 36.88857222914699 -61.09097069042685 36.88857222914699 155.39881987384913 62.694089581956035 473.58046382438044 161.99704209501056 316.4502543600793 10.145469442686101 0.0 0.772124551471309
47 0.0 5.63 0 42 5.63 4 -0.30975530176700494 4.529232969239903 -123.52222592532249 251.9805728063045 2.7384989057630285 168.83886710768647 251.9805728063045 168.83886710768647 1000.0 0.0 0.08666622477183321 0.03379416242144559 0.08954774548357579 0.012369778696041807 0.8637526340187646 0.22606072398284346
26 4.93 2.81 0 22 5.67459249638 4 -0.2976810473011407 6.247448517871613 -146.11526071388693 -537.8384189436886 2.0583440528667483 99.90675436547913 -537.8384189436886 99.90675436547913 1000.0 0.0 0.31314530294017506 0.29920695111568196 0.25625935645011994 0.0 0.3489796754560227 0.1469533256840348
43 -4.93 2.81 0 38 5.67459249638 4 -0.24012453868996758 9.111571767711318 -125.45345218156761 -310.76761996156193 1.3702850408267282 74.2936488942987 -310.76761996156193 74.2936488942987 454.94575389333914 55.92395575874869 0.05479573509597996 0.04537968773234646 0.3553620922860593 0.009522007558183996 0.657425276906262 0.2656948614687077
46 4.93 -2.81 0 41 5.67459249638 4 -0.2624798044167225 2.788760485065193 -86.02410781839703 -472.5840443963199 2.0133284042278325 153.86097214892965 -472.5840443963199 153.86097214892965 485.83527729427226 95.88524741272226 0.01972141532565406 0.13057560184692446 0.3934068243908451 0.0 0.2842499016159035 0.18821222356201994
66 -4.93 -2.81 0 60 5.67459249638 4 -0.2078479124681109 7.50475045562223 -117.43765878635752 -1953.3083124878194 1.5824886270635 52.06525728292156 -1953.3083124878194 52.06525728292156 1000.0 0.0 0.0 0.26676482741692337 0.0196591733464032 0.0 0.6373405026642478 0.35836628939022935
25 4.93 -8.44 0 21 9.77437977572 3 -0.37538722884176445 6.4497579860257375 -137.66657381550635 -61.731716992323676 0.0 54.46436583147286 -61.731716992323676 54.46436583147286 1000.0 0.0 0.43910747781411796 0.10579889781512165 0.14361879606430275 0.008444439503374495 0.4430660430326758 0.34730977172969213
41 4.93 8.44 0 36 9.77437977572 3 -0.14701743335967493 8.065823934069217 21.274650625498612 -517.9334111001973 6.73114972211733 660.9753565812052 -517.9334111001973 660.9753565812052 465.84943980037326 292.486670448538 0.0 0.0 0.21264031134657993 0.0 0.0 0.4149089344242899
51 -4.93 -8.44 0 46 9.77437977572 3 -0.327028796340337 7.07965587665361 -129.4437787058697 -2131.167429309318 1.9632172163221424 0.0 -2131.167429309318 0.0 1000.0 0.0 0.0 0.06763685772330245 0.0 0.0 0.2636734788221693 0.475469153936704
62 -4.93 8.44 0 56 9.77437977572 3 -0.6616151186736899 1.0265175433482152 -167.48528225762433 -303.93235005402846 18877010147.274826 0.0 -303.93235005402846 0.0 8.218207435959588 63979521.53069112 348.15003012796905 102.42009132452482 60973461831765.68 0.0 50308.62665659041 0.4093104780858478
1 9.85 0.0 0 0 9.85 3 -0.441155719371935 2.2461278566462366 -109.54330196414944 -2114.8703747035033 1.9880289639502147 0.0 -2114.8703747035033 0.0 8.218185642043743 0.0 0.002415142969690025 0.022114854078727906 0.034819561822341645 0.0 0.021759271250091854 0.18489011673906738
45 -9.85 0.0 0 40 9.85 3 -0.20935345550721313 6.463138410963834 -121.780006027068 -965.0344028246982 1.8932622833370167 146.5853058122513 -965.0344028246982 146.5853058122513 288.43526368312166 94.11361170573257 0.03471651984911008 0.027359016106813034 0.11452317821024413 0.0 0.21308915996579136 0.2703538603359987
44 0.0 11.26 0 39 11.26 11 -0.22118367409264686 5.5763483184605285 -106.23032897540824 -143.66128151528355 1.8868936053253382 118.31353350297636 -143.66128151528355 118.31353350297636 839.2904828583406 134.31012918737173 0.5411851169465514 0.1421075418171162 0.015724986920342965 0.0 0.27241455508006457 0.18258685818300072
48 0.0 -11.26 0 43 11.26 11 -0.10437585191615165 6.584420565283824 -76.23934864111177 59.044870887252884 1.2652392501713732 94.78679588953435 59.044870887252884 94.78679588953435 1000.0 0.0 0.07115244803310254 0.05919686512484605 0.053214613665435215 0.0 0.7780988562993951 0.21233784371733613
42 0.0 16.89 0 37 16.89 6 -0.8645513654011856 1.994363451923535 -71.25408033788759 -69.08398380834772 5.40740519217051 105.93447889509866 -69.08398380834772 105.93447889509866 1000.0 0.0 0.36859984468958146 0.1701564998608844 0.03067667996924902 0.0 2.590833549825094 0.0
79 0.0 -16.89 0 72 16.89 6 -0.5432122086723951 2.8394042711703533 39.6357996033209 -213.78037760056299 5.962524627529685 71.03181584990301 -213.78037760056299 71.03181584990301 1000.0 0.0 0.18763308754287603 0.8949733328523038 0.17227648972381546 0.0 0.24290901134579151 0.09734724330694294
23 14.78 8.44 0 19 17.0200470035 6 -0.09856380843947743 5.510567107226943 -174.38148310603367 1816.0650231945033 793.0531650922546 0.0 1816.0650231945033 0.0 209.9319978513409 125.3966312872867 0.0 0.01436270023491117 0.0 0.0 17.709167735660234 0.5221568621703278
24 14.78 -8.44 0 20 17.0200470035 6 -0.10696769624295313 8.522001011884134 -23.643379403522513 88.20235020443805 5.617979903136879 66.63267789127569 88.20235020443805 66.63267789127569 382.409346214729 91.3480698726809 0.04036918269066318 0.0 0.2483357642514295 0.08882709678261116 8.452499265958457 0.07355676475464053
63 -14.78 8.44 0 57 17.0200470035 6 -0.04341864014815312 1.0840635009441937 -117.76704627971253 -1739.485778037544 2.2697125355256893 401.1848831526357 -1739.485778037544 401.1848831526357 1000.0 0.0 0.0661048358266383 0.02801238154327629 0.04213266053237795 0.0 0.02979201445410351 0.2794638022099092
64 -14.78 -8.44 0 58 17.0200470035 6 -0.105734637248135 3.611956994584877 -149.65971597718178 -402.95126869135413 3.430157892168742 299.8835346578279 -402.95126869135413 299.8835346578279 843.1429129632828 239.23789203087972 0.012762840360069137 0.11892272726682317 0.0 0.013809499631055374 0.19387850523791778 0.30644411710288166
21 9.85 16.89 0 18 19.5523553568 5 -0.6431039671518836 7.38718554660237 -393.41056658892376 -252.7007959183324 6.651933179194188 226.80259942251348 -252.7007959183324 226.80259942251348 583.1420962949268 155.70894421717256 0.3153757086688163 0.2577822688759151 0.11309954687916464 0.10402818959906851 0.08323794996752946 0.0
